2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@788fcafb
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@788fcafb
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration row_version -> org.hibernate.type.RowVersionType@63b1d4fa
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration image -> org.hibernate.type.ImageType@183e8023
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration characters -> org.hibernate.type.CharArrayType@15cafec7
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration char[] -> org.hibernate.type.CharArrayType@15cafec7
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration [C -> org.hibernate.type.CharArrayType@15cafec7
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@1f2f9244
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@1f2f9244
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@1f2f9244
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration text -> org.hibernate.type.TextType@505a9d7c
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration ntext -> org.hibernate.type.NTextType@19ae6bb
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration blob -> org.hibernate.type.BlobType@14b030a0
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@14b030a0
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@d8305c2
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration clob -> org.hibernate.type.ClobType@4b672daa
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@4b672daa
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration nclob -> org.hibernate.type.NClobType@2e11485
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@2e11485
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@5974109
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@6f8f9349
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration serializable -> org.hibernate.type.SerializableType@47db5fa5
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration object -> org.hibernate.type.ObjectType@7a791b66
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@7a791b66
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@6b9ce1bf
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@61884cb1
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@75ed9710
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@4fc5e095
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@435871cb
